Gender,Age,Driver_Licence,H_size,Veh_count,Income,Mode,Minutes,Go_time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Car_freq,Pt_freq,Walk_freq,Distance
Άνδρας,31 -40,Yes,2,2,500 - 1000,Αμάξι,25,09.00 - 12.00,Agree,Disagree,Agree,Agree,Neutral,Totally agree,Disagree,Καθημερινά,Καθόλου,Καθημερινά,6.7
Γυναίκα,51 - 60,Yes,3,2,500 - 1000,Αμάξι,30,06.00 - 09.00,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Totally disagree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),19.2
Άνδρας,21 - 30,Yes,4,1,0 - 500,Λεωφορείο,53,09.00 - 12.00,Agree,Agree,Agree,Neutral,Agree,Agree,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,6.5
Άνδρας,21 - 30,Yes,4,1,0 - 500,Λεωφορείο,12,06.00 - 09.00,Agree,Totally agree,Agree,Agree,Agree,Neutral,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,2.4
Γυναίκα,21 - 30,No,5,1,0 - 500,Πόδια,15,18.00 - 21.00,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,1.7
Άνδρας,41 - 50,Yes,5,2,2000 και άνω,Αμάξι,30,06.00 - 09.00,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),12
Άνδρας,31 -40,No,4,1,500 - 1000,Λεωφορείο,31,12.00 - 15.00,Agree,Totally agree,Totally agree,Agree,Neutral,Agree,Totally agree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),5.9
Άνδρας,21 - 30,Yes,2,0,500 - 1000,Λεωφορείο,11,12.00 - 15.00,Neutral,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Totally agree,Καθόλου,Καθημερινά,Καθημερινά,1.8
Άνδρας,21 - 30,Yes,4,1,500 - 1000,Λεωφορείο,25,12.00 - 15.00,Disagree,Totally agree,Agree,Totally disagree,Neutral,Agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),3.6
Γυναίκα,21 - 30,No,8,2,1000 - 1500,Πόδια,23,12.00 - 15.00,Totally agree,Totally agree,Neutral,Agree,Disagree,Totally agree,Totally agree,Καθόλου,Καθόλου,Καθημερινά,1.5
Γυναίκα,21 - 30,Yes,6,2,500 - 1000,Αμάξι,33,12.00 - 15.00,Totally agree,Totally agree,Neutral,Totally disagree,Totally disagree,Totally agree,Totally agree,Καθημερινά,Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),25.4
Άνδρας,21 - 30,Yes,7,3,500 - 1000,Πόδια,24,12.00 - 15.00,Agree,Totally disagree,Agree,Totally agree,Totally agree,Disagree,Totally disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,2
Άνδρας,21 - 30,Yes,6,1,0 - 500,Πόδια,28,06.00 - 09.00,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.5
